@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute positiveW NUMERIC
@attribute negativeW NUMERIC
@attribute positiveE NUMERIC
@attribute negativeE NUMERIC
@attribute feelingcategory {positive,negative,neutral,objective}
@data
'	 not     gsp fan    hate nick diaz  can  wait  february  ',negative,0,1,0,0,negative
'	 sat   whole movie   harry  ron  christmas  ohlawd ',neutral,0,0,0,0,objective
'	  davlar   th  main rivals  team poland  hopefully      successful end   tough   training tomorrow  ',positive,1,0,0,0,positive
'	  "happy valentines trending        th  february not   th  june smh   ',objective,1,0,0,0,positive
'	    superbowl  dallas   dallas ain  winning  superbowl  not   quarterback  owner   nyc  rasmussenpoll ',negative,0,0,0,0,objective
'	 livewire nadal confirmed  mexican open  february  rafael nadal  set  play          livewireathletics ',objective,1,0,0,0,positive
'	men  mad     fight       women  mad    hold  grudge  lasts forever  ',positive,0,2,0,0,negative
'	 iran  delisting mko  global terrorists list  line  iran campaign  tehran  oct     irna    secretary      ',objective,0,0,0,0,objective
'	 greatest ballers      ',neutral,0,0,0,0,objective
'	gm nvr get stevens smith doherty woods  benghazi  ljmljm    dj jg  paverlayer  fsbull  revkahjc  dickstrash  borderfox     swedeng ',positive,0,0,0,0,objective
'	expect light moderate rains    visayas  cebu  bohol  samar   leyte         chance  rains tonight! expect fair weather tomorrow! ) ',objective,0,0,1,0,positive
'	 ticket left      ers game tomorrow!     rematch   nfc championship game against  ny giants! hit  up! ',positive,0,1,3,0,positive
'	 saturday night has consisted   watching  grey   puppy   parents throw  rager  whaa  liamneesonisbosstho ',negative,0,0,0,0,objective
'	    hard  find   tvguidemagazine  days      stores   castle cover issue  none   search  tomorrow    ',negative,0,0,0,0,objective
'	 iswagx       games  hornets   heat ',neutral,0,0,0,0,objective
'	never start working   dreams  goals tomorrow      tomorrow never       means     act now!  getafterit ',positive,0,0,1,0,positive
'	  watching  rhom       now  ) ',positive,0,0,1,0,positive
'	looks like andy  android        fun yesterday    ',positive,2,0,0,0,positive
'	yes   know indio  cv  tomorrow  bell game   enough !! ',positive,0,0,0,0,objective
'	 melmurmel  pbandjenelley_   vl_delp_ham_ jenelle lies  st    was    hosp now   saying  weird  was  keiffer  ',negative,0,2,0,0,negative
'	   rumor goin     vote  ima look     back    ',negative,0,0,0,0,objective
'	 tantrak     hong kong     mama   nov      want    live ',positive,0,0,0,0,objective
'	happy   th   president! nick  forever   chain  ',positive,1,0,1,0,positive
